user_id,pred_date
96488,2017-05-01
96354,2017-05-01
95544,2017-05-01
91064,2017-05-01
90835,2017-05-01
90621,2017-05-01
85028,2017-05-01
84861,2017-05-01
81478,2017-05-01
79916,2017-05-01
79853,2017-05-01
79318,2017-05-01
78647,2017-05-01
72992,2017-05-01
68480,2017-05-01
67253,2017-05-01
66585,2017-05-01
65894,2017-05-01
61735,2017-05-01
59613,2017-05-01
58904,2017-05-01
54578,2017-05-01
47932,2017-05-01
44599,2017-05-01
42602,2017-05-01
42537,2017-05-01
40554,2017-05-01
37449,2017-05-01
37104,2017-05-01
35093,2017-05-01
32711,2017-05-01
28854,2017-05-01
26198,2017-05-01
18599,2017-05-01
15815,2017-05-01
14008,2017-05-01
13565,2017-05-01
12423,2017-05-01
10906,2017-05-01
9813,2017-05-01
8235,2017-05-01
3503,2017-05-01
2550,2017-05-01
2346,2017-05-01
1578,2017-05-01
167,2017-05-01
57568,2017-05-01
78481,2017-05-01
72551,2017-05-01
60808,2017-05-01
45471,2017-05-01
26787,2017-05-01
66501,2017-05-01
6188,2017-05-01
2910,2017-05-01
98753,2017-05-01
95977,2017-05-01
85427,2017-05-01
81577,2017-05-01
70608,2017-05-01
65017,2017-05-01
55305,2017-05-01
48924,2017-05-01
48098,2017-05-01
31415,2017-05-01
28255,2017-05-01
27801,2017-05-01
7531,2017-05-01
96271,2017-05-01
90143,2017-05-01
87653,2017-05-01
87638,2017-05-01
82456,2017-05-01
73606,2017-05-01
67231,2017-05-01
61340,2017-05-01
58377,2017-05-01
50365,2017-05-01
36305,2017-05-01
16239,2017-05-01
83581,2017-05-01
18843,2017-05-01
95793,2017-05-01
66025,2017-05-01
23423,2017-05-01
19790,2017-05-01
38992,2017-05-01
98072,2017-05-01
96981,2017-05-01
93539,2017-05-01
93480,2017-05-01
93436,2017-05-01
93262,2017-05-01
89567,2017-05-01
89294,2017-05-01
89130,2017-05-01
88377,2017-05-01
88330,2017-05-01
87523,2017-05-01
86676,2017-05-01
86058,2017-05-01
85479,2017-05-01
80178,2017-05-01
79488,2017-05-01
78073,2017-05-01
75023,2017-05-01
70403,2017-05-01
70036,2017-05-01
69829,2017-05-01
68309,2017-05-01
67549,2017-05-01
66563,2017-05-01
64799,2017-05-01
64261,2017-05-01
63625,2017-05-01
63261,2017-05-01
63247,2017-05-01
62986,2017-05-01
62047,2017-05-01
59970,2017-05-01
59373,2017-05-01
59182,2017-05-01
59125,2017-05-01
59018,2017-05-01
58890,2017-05-01
58702,2017-05-01
57976,2017-05-01
56853,2017-05-01
55212,2017-05-01
53764,2017-05-01
52976,2017-05-01
52709,2017-05-01
52074,2017-05-01
52030,2017-05-01
51594,2017-05-01
51002,2017-05-01
50367,2017-05-01
49766,2017-05-01
48547,2017-05-01
46468,2017-05-01
46310,2017-05-01
45137,2017-05-01
44973,2017-05-01
44892,2017-05-01
42896,2017-05-01
42669,2017-05-01
41395,2017-05-01
38792,2017-05-01
38380,2017-05-01
36817,2017-05-01
36745,2017-05-01
35711,2017-05-01
33818,2017-05-01
31692,2017-05-01
31497,2017-05-01
31367,2017-05-01
30379,2017-05-01
30355,2017-05-01
30194,2017-05-01
30000,2017-05-01
28264,2017-05-01
27774,2017-05-01
26639,2017-05-01
25594,2017-05-01
25333,2017-05-01
23375,2017-05-01
22674,2017-05-01
22598,2017-05-01
22426,2017-05-01
20125,2017-05-01
19201,2017-05-01
16880,2017-05-01
16879,2017-05-01
16778,2017-05-01
16757,2017-05-01
13371,2017-05-01
8251,2017-05-01
7465,2017-05-01
5607,2017-05-01
4866,2017-05-01
3277,2017-05-01
3092,2017-05-01
2952,2017-05-01
2699,2017-05-01
2363,2017-05-01
1498,2017-05-01
1106,2017-05-01
522,2017-05-01
52919,2017-05-01
96751,2017-05-01
7326,2017-05-01
98256,2017-05-01
98178,2017-05-01
97984,2017-05-01
97639,2017-05-01
97097,2017-05-01
97018,2017-05-01
97015,2017-05-01
97004,2017-05-01
95495,2017-05-01
95074,2017-05-01
94317,2017-05-01
93652,2017-05-01
93394,2017-05-01
92632,2017-05-01
92482,2017-05-01
92129,2017-05-01
91174,2017-05-01
90446,2017-05-01
89926,2017-05-01
88012,2017-05-01
87506,2017-05-01
87005,2017-05-01
86989,2017-05-01
86924,2017-05-01
86663,2017-05-01
86658,2017-05-01
86617,2017-05-01
86509,2017-05-01
86136,2017-05-01
85767,2017-05-01
85491,2017-05-01
84731,2017-05-01
83652,2017-05-01
81896,2017-05-01
81507,2017-05-01
80637,2017-05-01
80549,2017-05-01
80394,2017-05-01
80218,2017-05-01
80198,2017-05-01
80185,2017-05-01
79805,2017-05-01
79679,2017-05-01
78695,2017-05-01
77718,2017-05-01
77714,2017-05-01
77696,2017-05-01
76915,2017-05-01
76768,2017-05-01
76490,2017-05-01
75969,2017-05-01
75085,2017-05-01
74416,2017-05-01
74251,2017-05-01
74066,2017-05-01
74043,2017-05-01
72195,2017-05-01
72179,2017-05-01
71753,2017-05-01
71599,2017-05-01
71421,2017-05-01
71322,2017-05-01
71202,2017-05-01
70802,2017-05-01
69776,2017-05-01
69693,2017-05-01
69277,2017-05-01
69048,2017-05-01
68716,2017-05-01
68375,2017-05-01
67637,2017-05-01
67459,2017-05-01
67340,2017-05-01
65383,2017-05-01
64777,2017-05-01
64470,2017-05-01
62592,2017-05-01
62376,2017-05-01
62177,2017-05-01
61985,2017-05-01
60688,2017-05-01
60672,2017-05-01
60114,2017-05-01
59188,2017-05-01
58870,2017-05-01
58518,2017-05-01
58341,2017-05-01
58102,2017-05-01
57327,2017-05-01
57144,2017-05-01
57036,2017-05-01
56277,2017-05-01
55832,2017-05-01
55289,2017-05-01
55026,2017-05-01
54397,2017-05-01
53839,2017-05-01
53799,2017-05-01
52915,2017-05-01
51527,2017-05-01
50946,2017-05-01
50552,2017-05-01
50430,2017-05-01
50333,2017-05-01
49931,2017-05-01
49897,2017-05-01
48493,2017-05-01
47773,2017-05-01
47353,2017-05-01
45926,2017-05-01
45183,2017-05-01
44287,2017-05-01
43964,2017-05-01
43089,2017-05-01
42970,2017-05-01
42719,2017-05-01
42560,2017-05-01
41947,2017-05-01
41887,2017-05-01
41371,2017-05-01
41210,2017-05-01
40852,2017-05-01
40690,2017-05-01
37818,2017-05-01
36954,2017-05-01
36584,2017-05-01
36503,2017-05-01
35375,2017-05-01
35345,2017-05-01
35189,2017-05-01
34986,2017-05-01
34469,2017-05-01
33388,2017-05-01
33357,2017-05-01
32621,2017-05-01
31926,2017-05-01
31631,2017-05-01
31193,2017-05-01
31191,2017-05-01
30589,2017-05-01
29261,2017-05-01
28625,2017-05-01
28598,2017-05-01
27022,2017-05-01
26582,2017-05-01
26432,2017-05-01
25337,2017-05-01
25268,2017-05-01
24937,2017-05-01
24639,2017-05-01
24140,2017-05-01
23980,2017-05-01
23486,2017-05-01
23395,2017-05-01
22751,2017-05-01
22573,2017-05-01
22286,2017-05-01
22168,2017-05-01
21795,2017-05-01
21189,2017-05-01
20435,2017-05-01
20119,2017-05-01
19828,2017-05-01
19429,2017-05-01
19410,2017-05-01
18135,2017-05-01
17317,2017-05-01
14854,2017-05-01
14377,2017-05-01
14329,2017-05-01
13740,2017-05-01
13073,2017-05-01
12973,2017-05-01
12894,2017-05-01
12605,2017-05-01
11765,2017-05-01
11204,2017-05-01
11162,2017-05-01
10946,2017-05-01
10833,2017-05-01
10596,2017-05-01
10323,2017-05-01
9901,2017-05-01
9695,2017-05-01
9535,2017-05-01
8752,2017-05-01
8533,2017-05-01
7649,2017-05-01
7402,2017-05-01
6354,2017-05-01
5416,2017-05-01
4679,2017-05-01
4142,2017-05-01
4021,2017-05-01
2959,2017-05-01
2844,2017-05-01
1148,2017-05-01
910,2017-05-01
573,2017-05-01
484,2017-05-01
359,2017-05-01
11020,2017-05-01
7844,2017-05-01
14406,2017-05-01
12034,2017-05-01
63751,2017-05-01
46331,2017-05-01
66078,2017-05-01
98807,2017-05-01
98650,2017-05-01
97440,2017-05-01
97102,2017-05-01
96987,2017-05-01
96891,2017-05-01
95746,2017-05-01
95198,2017-05-01
94778,2017-05-01
94358,2017-05-01
94187,2017-05-01
94037,2017-05-01
92748,2017-05-01
92649,2017-05-01
92200,2017-05-01
91796,2017-05-01
91245,2017-05-01
91024,2017-05-01
90462,2017-05-01
90038,2017-05-01
89450,2017-05-01
88893,2017-05-01
88645,2017-05-01
88573,2017-05-01
88416,2017-05-01
88390,2017-05-01
88185,2017-05-01
87966,2017-05-01
87159,2017-05-01
86630,2017-05-01
86250,2017-05-01
86179,2017-05-01
86175,2017-05-01
85818,2017-05-01
85702,2017-05-01
85387,2017-05-01
84821,2017-05-01
83629,2017-05-01
83542,2017-05-01
83453,2017-05-01
82951,2017-05-01
82429,2017-05-01
82205,2017-05-01
81496,2017-05-01
81334,2017-05-01
81159,2017-05-01
81119,2017-05-01
81072,2017-05-01
80844,2017-05-01
80733,2017-05-01
80614,2017-05-01
80444,2017-05-01
79909,2017-05-01
79858,2017-05-01
79759,2017-05-01
79158,2017-05-01
78778,2017-05-01
77832,2017-05-01
77180,2017-05-01
77009,2017-05-01
76797,2017-05-01
76339,2017-05-01
75473,2017-05-01
74978,2017-05-01
74525,2017-05-01
74290,2017-05-01
73599,2017-05-01
73557,2017-05-01
73355,2017-05-01
72490,2017-05-01
72461,2017-05-01
71695,2017-05-01
71643,2017-05-01
71603,2017-05-01
69558,2017-05-01
69413,2017-05-01
68585,2017-05-01
68343,2017-05-01
68283,2017-05-01
68075,2017-05-01
67540,2017-05-01
67336,2017-05-01
67140,2017-05-01
66674,2017-05-01
66655,2017-05-01
66439,2017-05-01
65925,2017-05-01
63985,2017-05-01
63319,2017-05-01
63277,2017-05-01
63242,2017-05-01
63152,2017-05-01
63075,2017-05-01
62678,2017-05-01
62571,2017-05-01
62551,2017-05-01
61363,2017-05-01
61210,2017-05-01
60815,2017-05-01
60535,2017-05-01
60454,2017-05-01
60215,2017-05-01
59832,2017-05-01
58794,2017-05-01
58487,2017-05-01
58384,2017-05-01
57958,2017-05-01
57065,2017-05-01
56966,2017-05-01
56268,2017-05-01
55185,2017-05-01
55017,2017-05-01
54976,2017-05-01
54601,2017-05-01
54108,2017-05-01
53500,2017-05-01
53321,2017-05-01
52967,2017-05-01
52920,2017-05-01
52632,2017-05-01
52424,2017-05-01
52333,2017-05-01
52304,2017-05-01
50793,2017-05-01
50391,2017-05-01
50285,2017-05-01
50115,2017-05-01
49596,2017-05-01
48731,2017-05-01
47926,2017-05-01
47866,2017-05-01
47859,2017-05-01
47372,2017-05-01
47090,2017-05-01
46757,2017-05-01
46492,2017-05-01
46399,2017-05-01
46357,2017-05-01
45519,2017-05-01
43431,2017-05-01
43353,2017-05-01
43038,2017-05-01
43036,2017-05-01
42638,2017-05-01
41538,2017-05-01
41282,2017-05-01
41274,2017-05-01
40542,2017-05-01
40374,2017-05-01
39962,2017-05-01
39926,2017-05-01
39817,2017-05-01
39107,2017-05-01
38883,2017-05-01
38844,2017-05-01
38244,2017-05-01
38106,2017-05-01
37193,2017-05-01
37092,2017-05-01
36964,2017-05-01
36900,2017-05-01
36686,2017-05-01
36226,2017-05-01
36220,2017-05-01
35801,2017-05-01
35715,2017-05-01
35620,2017-05-01
34927,2017-05-01
34553,2017-05-01
33848,2017-05-01
33259,2017-05-01
33107,2017-05-01
33081,2017-05-01
32969,2017-05-01
32849,2017-05-01
32521,2017-05-01
32382,2017-05-01
31910,2017-05-01
31588,2017-05-01
30349,2017-05-01
29551,2017-05-01
29032,2017-05-01
28382,2017-05-01
27941,2017-05-01
27642,2017-05-01
27397,2017-05-01
27116,2017-05-01
26533,2017-05-01
26497,2017-05-01
26167,2017-05-01
25648,2017-05-01
25570,2017-05-01
25510,2017-05-01
25433,2017-05-01
25413,2017-05-01
24931,2017-05-01
24883,2017-05-01
24695,2017-05-01
24336,2017-05-01
23903,2017-05-01
23773,2017-05-01
23410,2017-05-01
22780,2017-05-01
22243,2017-05-01
21812,2017-05-01
21740,2017-05-01
21655,2017-05-01
